path,total_conversions,total_conversion_value,total_null
Affiliate Marketing,125,58167.11,1034
Affiliate Marketing > Affiliate Marketing,11,5636.59,76
Affiliate Marketing > Affiliate Marketing > Affiliate Marketing,0,0.0,4
Affiliate Marketing > Affiliate Marketing > Affiliate Marketing > Affiliate Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Affiliate Marketing > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Affiliate Marketing > Pinterest > Email > Facebook,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Affiliate Marketing > Podcast Advertising > Affiliate Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Bing Paid Search,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Content Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Direct,1,923.28,10
Affiliate Marketing > Affiliate Marketing > Direct > Direct,1,77.03,0
Affiliate Marketing > Affiliate Marketing > Direct > Email,1,339.47,0
Affiliate Marketing > Affiliate Marketing > Direct > Pinterest,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Direct > YouTube > Affiliate Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Direct > YouTube > YouTube > Referral Programs > Online Display > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email,0,0.0,12
Affiliate Marketing > Affiliate Marketing > Email > Affiliate Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > Affiliate Marketing > Content Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > Affiliate Marketing > Pinterest > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > Email,0,0.0,2
Affiliate Marketing > Affiliate Marketing > Email > Email > Influencer Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > Influencer Marketing,0,0.0,2
Affiliate Marketing > Affiliate Marketing > Email > Instagram,0,0.0,2
Affiliate Marketing > Affiliate Marketing > Email > Instagram > SMS Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > Organic Search > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > Pinterest > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > Pinterest > Facebook > Instagram > Affiliate Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > Pinterest > Instagram,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > YouTube,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Email > YouTube > Pinterest > Pinterest,1,770.48,0
Affiliate Marketing > Affiliate Marketing > Facebook,0,0.0,3
Affiliate Marketing > Affiliate Marketing > Facebook > Pinterest > Email > Pinterest,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Google Paid Search,0,0.0,2
Affiliate Marketing > Affiliate Marketing > Google Paid Search > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Google Paid Search > Pinterest,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Influencer Marketing,0,0.0,5
Affiliate Marketing > Affiliate Marketing > Influencer Marketing > Affiliate Marketing > Influencer Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Influencer Marketing > Direct,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Influencer Marketing > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Influencer Marketing > Instagram,0,0.0,2
Affiliate Marketing > Affiliate Marketing > Influencer Marketing > Pinterest > Influencer Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Influencer Marketing > TikTok,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Instagram,0,0.0,8
Affiliate Marketing > Affiliate Marketing > Instagram > Email > Facebook,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Instagram > Email > Google Paid Search,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Instagram > Email > Pinterest,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Instagram > Referral Programs,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Instagram > YouTube,0,0.0,1
Affiliate Marketing > Affiliate Marketing > LinkedIn > Google Paid Search > Pinterest,0,0.0,1
Affiliate Marketing > Affiliate Marketing > LinkedIn > Organic Search > Facebook,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Online Display > SMS Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Online Display > YouTube,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Pinterest,0,0.0,6
Affiliate Marketing > Affiliate Marketing > Pinterest > Content Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Pinterest > Facebook,0,0.0,2
Affiliate Marketing > Affiliate Marketing > Pinterest > Influencer Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Pinterest > Instagram,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Pinterest > Pinterest,1,972.37,1
Affiliate Marketing > Affiliate Marketing > Pinterest > Pinterest > Facebook > Email,1,859.69,0
Affiliate Marketing > Affiliate Marketing > Pinterest > YouTube,1,671.12,0
Affiliate Marketing > Affiliate Marketing > Pinterest > YouTube > Pinterest > Facebook > Influencer Marketing > Influencer Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Podcast Advertising,0,0.0,3
Affiliate Marketing > Affiliate Marketing > Podcast Advertising > Google Paid Search,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Podcast Advertising > Pinterest,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Podcast Advertising > YouTube > Content Marketing,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Podcast Advertising > YouTube > Twitter > Pinterest,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Referral Programs,0,0.0,4
Affiliate Marketing > Affiliate Marketing > Referral Programs > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Referral Programs > Pinterest > Instagram,0,0.0,1
Affiliate Marketing > Affiliate Marketing > SMS Marketing > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > SMS Marketing > Influencer Marketing > Email,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Snapchat,0,0.0,2
