channel_name,first_touch_conversions,first_touch_value,last_touch_conversions,last_touch_value,linear_touch_conversions,linear_touch_value,markov_model_conversions,markov_model_value,M_LT_Change,M_LT_Change_Net
Affiliate Marketing,108.0,51169.55,104.0,57545.37,104.22,52406.0,123.23,66209.37,0.18,19.23
Content Marketing,509.0,264687.89,491.0,258194.64,494.73,258032.7,524.11,271693.05,0.07,33.11
Online Display,1065.0,559331.08,1091.0,565336.66,1079.49,560293.48,1016.25,524909.33,-0.07,-74.75
Facebook,581.0,318823.7,552.0,282456.18,560.09,294181.84,581.83,295836.91,0.05,29.83
LinkedIn,957.0,471802.17,965.0,487258.76,968.32,487726.77,940.6,479683.62,-0.03,-24.4
Organic Search,225.0,118033.57,234.0,116938.95,239.83,121264.45,260.89,136165.42,0.11,26.89
Snapchat,100.0,52606.78,117.0,61739.9,111.01,57927.3,122.45,60775.93,0.05,5.45
Twitter,843.0,416889.74,824.0,424421.64,830.5,420796.9,825.95,423828.59,0.0,1.95
Pinterest,1092.0,565082.44,1105.0,564386.07,1100.82,569279.58,1051.35,537909.58,-0.05,-53.65
Podcast Advertising,1497.0,760320.39,1468.0,744076.65,1486.35,752200.91,1334.07,677192.38,-0.09,-133.93
Bing Paid Search,270.0,130050.7,261.0,126687.29,268.78,131859.07,299.49,149522.3,0.15,38.49
Google Paid Search,80.0,41980.57,97.0,46873.31,85.56,42402.5,93.98,48224.6,-0.03,-3.02
Email,191.0,92465.66,210.0,110326.91,203.77,102949.17,237.88,121680.75,0.13,27.88
SMS Marketing,638.0,332399.64,642.0,339216.47,646.0,341103.01,666.45,350552.94,0.04,24.45
TikTok,436.0,217436.7,465.0,233254.53,445.19,221777.45,473.42,239133.96,0.02,8.42
Influencer Marketing,49.0,25409.49,48.0,22959.2,46.1,22642.41,60.05,29418.42,0.25,12.05
YouTube,123.0,62377.75,120.0,63858.13,123.7,63458.84,136.1,69912.4,0.13,16.1
Instagram,256.0,131403.0,233.0,116592.87,237.46,121820.54,264.4,133060.6,0.13,31.4
Direct,46.0,23388.74,47.0,24005.38,43.53,21625.58,53.43,27282.11,0.14,6.43
Referral Programs,67.0,40166.01,59.0,29696.66,57.54,32077.07,67.07,32833.29,0.14,8.07
