path,total_conversions,total_conversion_value,total_null
Affiliate Marketing,24,12487.4,228
Affiliate Marketing > Affiliate Marketing,0,0.0,2
Affiliate Marketing > Affiliate Marketing > Content Marketing > Online Display,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Facebook > LinkedIn,0,0.0,1
Affiliate Marketing > Affiliate Marketing > LinkedIn,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Online Display > Organic Search,1,507.67,0
Affiliate Marketing > Affiliate Marketing > Online Display > Organic Search > Snapchat,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Online Display > Twitter,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Pinterest,0,0.0,3
Affiliate Marketing > Affiliate Marketing > Pinterest > Podcast Advertising > Podcast Advertising,0,0.0,1
Affiliate Marketing > Affiliate Marketing > Pinterest > Twitter,0,0.0,1
Affiliate Marketing > Bing Paid Search,0,0.0,3
Affiliate Marketing > Bing Paid Search > Content Marketing,1,697.78,1
Affiliate Marketing > Bing Paid Search > Google Paid Search,1,30.33,0
Affiliate Marketing > Bing Paid Search > Online Display,0,0.0,1
Affiliate Marketing > Bing Paid Search > Pinterest,0,0.0,1
Affiliate Marketing > Bing Paid Search > Podcast Advertising,0,0.0,1
Affiliate Marketing > Bing Paid Search > Podcast Advertising > Email > LinkedIn,1,397.68,0
Affiliate Marketing > Bing Paid Search > Podcast Advertising > SMS Marketing,0,0.0,1
Affiliate Marketing > Bing Paid Search > TikTok > Pinterest,0,0.0,1
Affiliate Marketing > Bing Paid Search > TikTok > Podcast Advertising,0,0.0,1
Affiliate Marketing > Bing Paid Search > Twitter > Pinterest > Online Display > Influencer Marketing,1,418.19,0
Affiliate Marketing > Bing Paid Search > Twitter > Twitter > Bing Paid Search,0,0.0,1
Affiliate Marketing > Bing Paid Search > YouTube,0,0.0,1
Affiliate Marketing > Content Marketing,0,0.0,18
Affiliate Marketing > Content Marketing > Email,0,0.0,2
Affiliate Marketing > Content Marketing > Email > LinkedIn > SMS Marketing > Podcast Advertising > Podcast Advertising,0,0.0,1
Affiliate Marketing > Content Marketing > Facebook,1,624.59,0
Affiliate Marketing > Content Marketing > Facebook > Bing Paid Search,0,0.0,1
Affiliate Marketing > Content Marketing > Influencer Marketing > Instagram,0,0.0,1
Affiliate Marketing > Content Marketing > LinkedIn,0,0.0,4
Affiliate Marketing > Content Marketing > LinkedIn > Online Display > Instagram > Podcast Advertising > Instagram,0,0.0,1
Affiliate Marketing > Content Marketing > LinkedIn > Podcast Advertising > Bing Paid Search > Twitter,0,0.0,1
Affiliate Marketing > Content Marketing > Online Display,1,558.1,2
Affiliate Marketing > Content Marketing > Online Display > Content Marketing,0,0.0,1
Affiliate Marketing > Content Marketing > Online Display > Content Marketing > Podcast Advertising,0,0.0,1
Affiliate Marketing > Content Marketing > Online Display > Content Marketing > YouTube > Podcast Advertising,0,0.0,1
Affiliate Marketing > Content Marketing > Online Display > Podcast Advertising > Podcast Advertising > Direct,0,0.0,1
Affiliate Marketing > Content Marketing > Online Display > Podcast Advertising > Podcast Advertising > LinkedIn > Content Marketing,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest,1,849.61,2
Affiliate Marketing > Content Marketing > Pinterest > Content Marketing > Twitter > SMS Marketing,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest > Facebook,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest > LinkedIn > LinkedIn > Online Display > Podcast Advertising,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest > Online Display > Podcast Advertising > Podcast Advertising,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest > Pinterest,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest > Pinterest > LinkedIn,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest > Podcast Advertising > Online Display,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest > SMS Marketing,0,0.0,1
Affiliate Marketing > Content Marketing > Pinterest > Twitter,0,0.0,1
Affiliate Marketing > Content Marketing > Podcast Advertising > SMS Marketing > Content Marketing > Podcast Advertising > LinkedIn,0,0.0,1
Affiliate Marketing > Content Marketing > SMS Marketing,0,0.0,1
Affiliate Marketing > Content Marketing > SMS Marketing > Direct > Pinterest,1,303.62,0
Affiliate Marketing > Content Marketing > SMS Marketing > Podcast Advertising > Instagram,1,203.49,0
Affiliate Marketing > Content Marketing > TikTok > Organic Search,0,0.0,1
Affiliate Marketing > Content Marketing > TikTok > Twitter,0,0.0,1
Affiliate Marketing > Content Marketing > Twitter,0,0.0,3
